country,bidding_zone,annual_ci,balancing_capacity_mw,cluster_mw,n_services_country,n_services_active,services_active,total_committed_mw,weighted_marginal_ci,exo_leverage_ratio
HU,10YHU-MAVIR----U,215.0,600.0,50.0,3,3,FCR+aFRR+mFRR,52.5,442.85714285714283,2.059800664451827
IE,10YIE-1001A00010,290.0,450.0,0.5,3,0,,0.0,0.0,0.0
IE,10YIE-1001A00010,290.0,450.0,1.0,3,0,,0.0,0.0,0.0
IE,10YIE-1001A00010,290.0,450.0,10.0,3,2,FCR+aFRR,10.5,480.0,1.6551724137931034
IE,10YIE-1001A00010,290.0,450.0,50.0,3,3,FCR+aFRR+mFRR,75.0,516.0,1.7793103448275862
IT,10Y1001A1001A73I,258.0,2000.0,0.5,4,0,,0.0,0.0,0.0
IT,10Y1001A1001A73I,258.0,2000.0,1.0,4,0,,0.0,0.0,0.0
IT,10Y1001A1001A73I,258.0,2000.0,10.0,4,2,FCR+aFRR,11.0,380.0,1.4728682170542635
IT,10Y1001A1001A73I,258.0,2000.0,50.0,4,4,FCR+aFRR+mFRR+RR,85.0,415.29411764705884,1.6096671226630188
NL,10YNL----------L,320.0,1500.0,0.5,3,0,,0.0,0.0,0.0
NL,10YNL----------L,320.0,1500.0,1.0,3,0,,0.0,0.0,0.0
NL,10YNL----------L,320.0,1500.0,10.0,3,2,FCR+aFRR,10.5,500.0,1.5625
NL,10YNL----------L,320.0,1500.0,50.0,3,3,FCR+aFRR+mFRR,75.0,545.0,1.703125
NO,10YNO-2--------T,22.0,800.0,0.5,3,0,,0.0,0.0,0.0
NO,10YNO-2--------T,22.0,800.0,1.0,3,2,FCR+aFRR,1.05,220.0,10.0
NO,10YNO-2--------T,22.0,800.0,10.0,3,2,FCR+aFRR,10.5,220.0,10.0
NO,10YNO-2--------T,22.0,800.0,50.0,3,3,FCR+aFRR+mFRR,75.0,268.0,12.181818181818182
PL,10YPL-AREA-----S,700.0,1500.0,0.5,3,0,,0.0,0.0,0.0
PL,10YPL-AREA-----S,700.0,1500.0,1.0,3,0,,0.0,0.0,0.0
PL,10YPL-AREA-----S,700.0,1500.0,10.0,3,2,FCR+aFRR,10.0,800.0,1.1428571428571428
PL,10YPL-AREA-----S,700.0,1500.0,50.0,3,3,FCR+aFRR+mFRR,67.5,825.925925925926,1.17989417989418
PT,10YPT-REN------W,155.0,600.0,0.5,4,0,,0.0,0.0,0.0
PT,10YPT-REN------W,155.0,600.0,1.0,4,0,,0.0,0.0,0.0
PT,10YPT-REN------W,155.0,600.0,10.0,4,2,FCR+aFRR,9.5,350.0,2.2580645161290325
PT,10YPT-REN------W,155.0,600.0,50.0,4,4,FCR+aFRR+mFRR+RR,77.5,400.3225806451613,2.582726326742976
RO,10YRO-TEL------P,240.0,850.0,0.5,3,0,,0.0,0.0,0.0
RO,10YRO-TEL------P,240.0,850.0,1.0,3,0,,0.0,0.0,0.0
RO,10YRO-TEL------P,240.0,850.0,10.0,3,2,FCR+aFRR,7.5,480.0,2.0
RO,10YRO-TEL------P,240.0,850.0,50.0,3,3,FCR+aFRR+mFRR,52.5,520.0,2.1666666666666665
SE,10YSE-1--------K,45.0,900.0,0.5,3,1,FCR,0.3,250.0,5.555555555555555
SE,10YSE-1--------K,45.0,900.0,1.0,3,2,FCR+aFRR,1.15,250.00000000000003,5.555555555555556
SE,10YSE-1--------K,45.0,900.0,10.0,3,3,FCR+aFRR+mFRR,16.5,295.45454545454544,6.565656565656566
SE,10YSE-1--------K,45.0,900.0,50.0,3,3,FCR+aFRR+mFRR,82.5,295.45454545454544,6.565656565656566
SI,10YSI-ELES-----O,210.0,300.0,0.5,3,0,,0.0,0.0,0.0
SI,10YSI-ELES-----O,210.0,300.0,1.0,3,0,,0.0,0.0,0.0
SI,10YSI-ELES-----O,210.0,300.0,10.0,3,2,FCR+aFRR,7.5,420.0,2.0
SI,10YSI-ELES-----O,210.0,300.0,50.0,3,3,FCR+aFRR+mFRR,52.5,465.7142857142857,2.217687074829932
SK,10YSK-SEPS-----K,130.0,400.0,0.5,3,0,,0.0,0.0,0.0
SK,10YSK-SEPS-----K,130.0,400.0,1.0,3,0,,0.0,0.0,0.0
SK,10YSK-SEPS-----K,130.0,400.0,10.0,3,2,FCR+aFRR,7.5,350.0,2.6923076923076925
SK,10YSK-SEPS-----K,130.0,400.0,50.0,3,3,FCR+aFRR+mFRR,52.5,392.85714285714283,3.021978021978022
